chger_id	chger_type	method	output	stat_id
01	06	단독	50	ME174013
01	06	단독	50	ME174027
01	06	단독	50	ME174029
01	06	단독	50	ME174037
01	06	단독	50	ME174039
01	06	단독	50	ME178009
02	06	단독	50	ME178009
01	06	단독	50	ME181102
12	06	단독	50	ME181150
13	06	단독	50	ME181150
01	06	단독	50	ME183001
01	06	단독	50	ME183002
01	06	단독	50	ME183003
01	06	단독	50	ME183004
01	06	단독	50	ME183006
01	06	단독	50	ME183008
01	06	단독	50	ME183009
01	06	단독	50	ME183103
02	04	동시	100	ME183103
52	04	동시	100	ME183103
01	06	단독	50	ME183219
02	04	동시	100	ME183219
52	04	동시	100	ME183219
01	06	단독	50	ME184075
01	06	단독	50	ME184076
01	06	단독	100	ME18B159
01	06	단독	100	ME18B163
01	06	단독	100	ME18B164
01	06	단독	100	ME18B165
01	06	단독	100	ME18B166
01	06	단독	100	ME18B167
01	06	단독	100	ME18B168
01	06	단독	100	ME18B169
01	06	단독	100	ME18B170
01	06	단독	100	ME18B175
01	06	단독	100	ME18B176
01	06	단독	100	ME18B177
01	06	단독	100	ME18B179
01	06	단독	100	ME18B180
01	06	단독	100	ME18B181
01	06	단독	100	ME18B183
11	04	동시	200	ME18B278
12	04	동시	200	ME18B278
11	04	동시	200	ME18B279
12	04	동시	200	ME18B279
11	04	동시	200	ME18B284
12	04	동시	200	ME18B284
11	04	동시	200	ME18B288
12	04	동시	200	ME18B288
01	04	단독	100	ME18B408
02	04	단독	100	ME18B408
03	04	단독	100	ME18B408
04	04	단독	100	ME18B408
01	04	단독	100	ME19A149
01	04	단독	100	ME19A150
01	04	단독	100	ME19A151
01	04	단독	100	ME19A152
01	04	단독	100	ME19A153
01	04	단독	100	ME19A159
01	04	단독	100	ME19A160
01	04	단독	100	ME19A164
01	04	단독	100	ME19A170
01	04	단독	100	ME19A171
21	04	동시	200	ME19A243
22	04	동시	200	ME19A243
21	04	동시	200	ME19A244
22	04	동시	200	ME19A244
21	04	동시	200	ME19A245
22	04	동시	200	ME19A245
21	04	동시	200	ME19A246
22	04	동시	200	ME19A246
21	04	동시	200	ME19A247
22	04	동시	200	ME19A247
21	04	동시	200	ME19A248
22	04	동시	200	ME19A248
21	04	동시	200	ME19A249
22	04	동시	200	ME19A249
21	04	동시	200	ME19A250
22	04	동시	200	ME19A250
21	04	동시	200	ME19A251
22	04	동시	200	ME19A251
21	04	동시	200	ME19A252
22	04	동시	200	ME19A252
21	04	동시	200	ME19A265
22	04	동시	200	ME19A265
21	04	동시	200	ME19A274
22	04	동시	200	ME19A274
21	04	동시	200	ME19A601
22	04	동시	200	ME19A601
23	04	동시	200	ME19A601
24	04	동시	200	ME19A601
25	04	동시	200	ME19A601
26	04	동시	200	ME19A601
01	04	단독	100	ME19D118
41	04	단독	100	ME19X403
42	04	단독	100	ME19X403
43	04	단독	100	ME19X403
44	04	단독	100	ME19X403
45	04	단독	100	ME19X403
41	04	단독	100	ME19X417
42	04	단독	100	ME19X417
43	04	단독	100	ME19X417
44	04	단독	100	ME19X417
45	04	단독	100	ME19X417
21	04	단독	100	ME19Y284
22	04	단독	100	ME19Y284
21	04	단독	100	ME19Y601
22	04	단독	100	ME19Y601
23	04	단독	100	ME19Y601
24	04	단독	100	ME19Y601
25	04	단독	100	ME19Y601
26	04	단독	100	ME19Y601
01	04	단독	100	ME20A193
01	04	단독	100	ME20A194
01	04	단독	100	ME20A195
01	04	단독	100	ME20A196
01	04	단독	100	ME20A197
01	04	단독	100	ME20A198
01	04	단독	100	ME20A199
01	04	단독	100	ME20A1a0
01	04	단독	100	ME20A1a1
01	04	단독	100	ME20A1a2
01	04	단독	100	ME20A1a3
01	04	단독	100	ME20A1a4
01	04	단독	100	ME20A1a5
01	04	단독	100	ME20A1a6
01	04	단독	100	ME20A1a7
01	04	단독	100	ME20A1a8
01	04	단독	100	ME20A1a9
01	04	단독	100	ME20A1b0
21	04	동시	200	ME20A278
22	04	동시	200	ME20A278
21	04	동시	200	ME20A279
22	04	동시	200	ME20A279
01	04	단독	100	ME20A280
02	04	단독	100	ME20A280
01	04	단독	100	ME20A301
21	04	동시	200	ME20A301
22	04	동시	200	ME20A301
21	04	동시	200	ME20A409
22	04	동시	200	ME20A409
23	04	동시	200	ME20A409
24	04	동시	200	ME20A409
01	04	단독	100	ME20A410
02	04	단독	100	ME20A410
03	04	단독	100	ME20A410
91	04	단독	100	ME20A410
01	04	단독	100	ME20A411
02	04	단독	100	ME20A411
03	04	단독	100	ME20A411
04	04	단독	100	ME20A411
01	04	단독	100	ME21A114
01	04	단독	100	ME21A128
01	04	단독	100	ME21B131
01	04	단독	100	ME21B132
01	04	단독	100	ME21B133
01	04	단독	100	ME21B157
01	04	단독	100	ME21B164
01	04	단독	100	ME21B168
01	04	단독	100	ME21B171
01	04	단독	100	ME21B180
01	04	단독	100	ME21B1C3
01	04	단독	100	ME21B211
02	04	단독	100	ME21B211
01	04	단독	100	ME21B234
02	04	단독	100	ME21B234
01	04	단독	100	ME21B244
02	04	단독	100	ME21B244
01	04	단독	100	ME21B245
02	04	단독	100	ME21B245
01	04	단독	100	ME21B305
02	04	단독	100	ME21B305
03	04	단독	100	ME21B305
01	04	단독	100	ME21B309
02	04	단독	100	ME21B309
03	04	단독	100	ME21B309
01	04	단독	100	ME21B404
02	04	단독	100	ME21B404
03	04	단독	100	ME21B404
04	04	단독	100	ME21B404
01	04	단독	100	ME21B412
02	04	단독	100	ME21B412
03	04	단독	100	ME21B412
04	04	단독	100	ME21B412
21	04	동시	200	ME21C250
22	04	동시	200	ME21C250
21	04	동시	200	ME21C251
22	04	동시	200	ME21C251
01	06	단독	100	ME21D045
01	06	단독	100	ME21D046
01	06	단독	100	ME21D047
01	06	단독	100	ME21D048
01	04	단독	100	ME22C1B8
01	04	단독	100	ME22C1B9
01	04	단독	100	ME22C1C0
01	04	단독	100	ME22C802
02	04	단독	100	ME22C802
03	04	단독	100	ME22C802
04	04	단독	100	ME22C802
05	04	단독	100	ME22C802
06	04	단독	100	ME22C802
07	04	단독	100	ME22C802
08	04	단독	100	ME22C802
01	04	단독	100	ME22D121
01	04	단독	100	ME22D134
01	04	단독	100	ME22D152
01	04	단독	100	ME22D205
02	04	단독	100	ME22D205
01	04	단독	100	ME22D402
02	04	단독	100	ME22D402
03	04	단독	100	ME22D402
04	04	단독	100	ME22D402
01	04	단독	100	ME22M301
02	04	단독	100	ME22M301
81	04	단독	350	ME22M301
82	04	단독	350	ME22M301
83	04	단독	350	ME22M301
84	04	단독	350	ME22M301
01	08	단독	30	ME22M302
02	08	단독	30	ME22M302
03	08	단독	30	ME22M302
04	08	단독	30	ME22M302
05	08	단독	30	ME22M302
06	08	단독	30	ME22M302
07	08	단독	30	ME22M302
08	08	단독	30	ME22M302
09	08	단독	30	ME22M302
10	08	단독	30	ME22M302
11	08	단독	30	ME22M302
12	08	단독	30	ME22M302
13	08	단독	30	ME22M302
14	08	단독	30	ME22M302
15	08	단독	30	ME22M302
16	08	단독	30	ME22M302
17	08	단독	30	ME22M302
18	08	단독	30	ME22M302
19	08	단독	30	ME22M302
20	08	단독	30	ME22M302
21	08	단독	30	ME22M302
22	08	단독	30	ME22M302
23	08	단독	30	ME22M302
24	08	단독	30	ME22M302
25	08	단독	30	ME22M302
26	08	단독	30	ME22M302
27	08	단독	30	ME22M302
28	08	단독	30	ME22M302
29	08	단독	30	ME22M302
30	08	단독	30	ME22M302
31	08	단독	30	ME22M302
32	08	단독	30	ME22M302
33	04	단독	100	ME22M302
34	04	단독	100	ME22M302
35	04	단독	100	ME22M302
36	04	단독	100	ME22M302
01	04	동시	200	AH000021
02	04	동시	200	AH000021
03	04	동시	50	AH000021
04	04	동시	50	AH000021
05	02	단독	11	AH000021
06	04	동시	50	AH000021
07	04	동시	50	AH000021
01	04	동시	50	AH000039
02	04	동시	50	AH000039
01	04	동시	50	AH000040
02	04	동시	50	AH000040
03	02	동시	7	AH000040
01	02	단독	7	AH000053
01	04	동시	50	AH000062
02	04	동시	50	AH000062
01	02	동시	14	AH000086
02	02	동시	14	AH000086
03	02	단독	7	AH000086
01	02	단독	7	ALAL0005
02	02	단독	7	ALAL0005
03	02	단독	7	ALAL0005
04	02	단독	7	ALAL0005
01	02	단독	7	AM900008
02	02	단독	7	AM900008
01	04	동시	100	AM900009
11	04	동시	100	AM900009
01	02	동시	7	AM900012
02	02	동시	7	AM900012
03	02	동시	7	AM900012
04	02	동시	7	AM900012
05	02	동시	7	AM900012
11	02	동시	7	AM900012
12	02	동시	7	AM900012
13	02	동시	7	AM900012
14	02	동시	7	AM900012
15	02	동시	7	AM900012
01	04	동시	100	AM900040
11	04	동시	100	AM900040
01	02	동시	7	AM900041
11	02	동시	7	AM900041
01	02	단독	7	AM900042
02	02	단독	7	AM900042
01	02	단독	7	AM900043
02	02	단독	7	AM900043
03	02	단독	7	AM900043
01	02	단독	7	AM900044
02	02	단독	7	AM900044
01	02	동시	7	AM900045
11	02	동시	7	AM900045
01	02	단독	7	AM900049
02	02	단독	7	AM900049
01	02	단독	7	AM900055
02	02	단독	7	AM900055
03	02	단독	7	AM900055
04	02	단독	7	AM900055
05	02	단독	7	AM900055
06	02	단독	7	AM900055
01	02	단독	7	AM900057
02	02	단독	7	AM900057
01	02	단독	7	AM900061
02	02	단독	7	AM900061
