stat_id	stat_nm	lat	lon	link_id	dist_m
ME174013	낙성대동주민센터	37.476296	126.9583876	1200001900	274.57
ME174027	서울추모공원	37.4536062	127.0428005	2040002902	460.41
ME174029	롯데마트 송파점	37.4918392	127.1178931	1230002500	98.09
ME174037	현대자동차 수색대리점	37.5867665	126.8880299	1130029800	71.59
ME174039	태화빌딩	37.5718148	126.9850443	1000000500	171.52
ME178009	서울만남(부산) 휴게소	37.4600218	127.0420378	1210000800	85.34
ME181102	스위스그랜드호텔(구 그랜드힐튼호텔)	37.589864395	126.93449341	1120013100	200.14
ME181150	우리은행본점	37.559534	126.981817	1010002600	66.11
ME183001	마곡레포츠센터	37.5728411	126.8323738	1150003400	95.14
ME183002	창2동 제4공영주차장	37.6413031	127.0364035	1090001001	244.12
ME183003	창3동 제1공영주차장	37.6332433	127.0411144	1090013400	105.9
ME183004	창천공영주차장	37.55493	126.9389738	1130003200	78.55
ME183006	난향동 주민센터	37.4616153	126.9189711	3201508500	26.12
ME183008	쌍문3동 제2공영주차장	37.6492416	127.0293271	1090004200	163.24
ME183009	스탠포드호텔코리아	37.5823581	126.886648	1130028100	139.08
ME183103	국회도서관	37.530302464	126.91764312	1180036400	124.94
ME183219	국회의원회관	37.528194	126.91448	1180033200	83.23
ME184075	노원에코센터	37.644779	127.059382	1100022700	175.43
ME184076	영등포구청 환승공영주차장	37.524606274	126.89537473	1180028700	74.23
ME18B159	성애병원	37.5113854	126.922783	1180012800	172.91
ME18B163	개봉1동 주민센터 옆 공영주차장	37.499851322	126.85136664	1160001800	173.67
ME18B164	하늘공원주차장	37.48739	126.88051	1160007000	53.82
ME18B165	쌍문2동 제3공영주차장	37.66116	127.03864	1090010300	184.9
ME18B166	서초구청	37.483278518	127.03235055	1210015500	111.26
ME18B167	북한산국립공원 정릉탐방지원센터	37.61846	126.9969	1070020200	135.65
ME18B168	북한산국립공원주차장	37.65584	126.94885	1110016200	447.43
ME18B169	부암동 주민센터	37.59246	126.96412	1000019500	39.82
ME18B170	SETEC	37.49584	127.07223	1220002000	149.43
ME18B175	가양레포츠센터	37.56198	126.86373	1150002300	60.13
ME18B176	강서구민올림픽체육센터	37.55962	126.85057	1150013200	309.2
ME18B177	상계2동 공영주차장	37.6566	127.06777	1100030400	83.11
ME18B179	마천동2공영주차장	37.49427	127.15624	1230012500	66.94
ME18B180	거여동공영주차장	37.4923661	127.1500523	1230009600	115.93
ME18B181	천마공영주차장	37.50028	127.15482	1230012500	135.22
ME18B183	이마트 은평점	37.60077	126.92049	1110009200	37.34
ME18B278	sh서울주택도시공사	37.49414	127.07879	1220018600	79.54
ME18B279	강동구청	37.5298976	127.1248664	1240006700	132.58
ME18B284	서울약령시 공영주차장	37.58051	127.03715	1050012500	187.89
ME18B288	서울역사박물관	37.571347	126.9698538	1000000100	206.22
ME18B408	성수2가 공영주차장	37.54909	127.05516	1030010700	88.76
ME19A149	충현동 제1공영주차장	37.5652353	126.9645306	1120019702	8.65
ME19A150	남가좌2동 공영주차장	37.583014499999	126.9231095	1120012600	168.39
ME19A151	미도아파트 앞 공영주차장	37.499812075338	127.010502727	1210022400	181.76
ME19A152	올림픽공원	37.5171577	127.115847	1230028200	83.66
ME19A153	구민회관	37.502451999999	127.093104199	1230016500	48.46
ME19A159	한국장애인개발원 본사	37.5269301	126.9179381	1180033000	74.1
ME19A160	영등포본동제1(공영주차장)	37.514279899999	126.9093244	1180016100	105.81
ME19A164	마포중앙도서관	37.563642399999	126.908286399	1130020600	87.94
ME19A170	국방부 서문 주차장	37.5335137	126.975672	1020011300	119.12
ME19A171	일원본동 주민센터	37.4831988	127.0864176	1220010900	221.5
ME19A243	탄천물재생센터	37.4959067	127.0799979	1220018600	246.47
ME19A244	한국원자력의학원 본사	37.628190798088	127.083195864	1100013700	130.73
ME19A245	상암1 공영주차장	37.5770112	126.8973596	1130026700	202.49
ME19A246	Park M (주차복합빌딩)	37.5783444	126.8941079	1130027200	31.79
ME19A247	이수공영주차장2	37.496222	126.985393	1210021700	213.78
ME19A248	이수공영주차장	37.496222	126.985393	1210021700	213.78
ME19A249	성수 2가1동 공영주차장	37.5370292	127.0563866	1030003000	15.59
ME19A250	하왕십리 공영주차장	37.5602689	127.0278376	1030014102	347.32
ME19A251	강변 공영주차장	37.5369369	127.0491411	1030000400	85.08
ME19A252	응봉동 공영주차장	37.5544151	127.03102999999	1030011100	227.66
ME19A265	양화진 공영주차장	37.545502369555	126.911413488	3201505500	32.64
